,Timestamp,TeamId,PlayerId,AST,STL,TO,BLK,FL,REB,DEFENSIVE_REB,OFFENSIVE_REB,FG2,FGA2,FG3,FGA3,FT,FTA,FG_CAS,FGA_CAS,FG_OTD,FGA_OTD,FG2_CAS,FGA2_CAS,FG2_OTD,FGA2_OTD,FG3_CAS,FGA3_CAS,FG3_OTD,FGA3_OTD,PASS0_2,PASS3_5,PASS6,PT0,PT1,BR0,BR1,BR2,TRANSITION,class,game
2,1582167765440.0,1729.0,67887.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_9672b049-537c-11ea-ab59-024282923f19
5,1582167786130.0,1729.0,0.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_9672b049-537c-11ea-ab59-024282923f19
8,1582167813055.0,1730.0,67921.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,M_9672b049-537c-11ea-ab59-024282923f19
19,1582167922939.0,1730.0,67921.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,M_9672b049-537c-11ea-ab59-024282923f19
22,1582167935322.0,1729.0,67897.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_9672b049-537c-11ea-ab59-024282923f19
27,1582167998431.0,1729.0,67885.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,M_9672b049-537c-11ea-ab59-024282923f19
30,1582168016414.0,1730.0,67921.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,M_9672b049-537c-11ea-ab59-024282923f19
36,1582168057656.0,1730.0,67921.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,M_9672b049-537c-11ea-ab59-024282923f19
39,1582168065880.0,1729.0,67897.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,M_9672b049-537c-11ea-ab59-024282923f19
42,1582168089113.0,1730.0,78845.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,M_9672b049-537c-11ea-ab59-024282923f19
45,1582168099438.0,1729.0,67884.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,M_9672b049-537c-11ea-ab59-024282923f19
53,1582168156623.0,1730.0,67906.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,M_9672b049-537c-11ea-ab59-024282923f19
67,1582168394197.0,1730.0,78852.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,M_9672b049-537c-11ea-ab59-024282923f19
70,1582168406174.0,1729.0,67884.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,M_9672b049-537c-11ea-ab59-024282923f19
81,1582168620829.0,1729.0,67885.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,M_9672b049-537c-11ea-ab59-024282923f19
91,1582168720956.0,1730.0,78846.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,M_9672b049-537c-11ea-ab59-024282923f19
94,1582168723735.0,1730.0,0.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_9672b049-537c-11ea-ab59-024282923f19
99,1582168769538.0,1729.0,67883.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_9672b049-537c-11ea-ab59-024282923f19
103,1582168799057.0,1729.0,67897.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,M_9672b049-537c-11ea-ab59-024282923f19
106,1582168806057.0,1729.0,67881.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,M_9672b049-537c-11ea-ab59-024282923f19
117,1582168888143.0,1730.0,67921.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_9672b049-537c-11ea-ab59-024282923f19
126,1582169000680.0,1729.0,67883.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,M_9672b049-537c-11ea-ab59-024282923f19
135,1582169216650.0,1730.0,78852.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,M_9672b049-537c-11ea-ab59-024282923f19
148,1582169369979.0,1730.0,78846.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,M_9672b049-537c-11ea-ab59-024282923f19
151,1582169378850.0,1730.0,67921.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_9672b049-537c-11ea-ab59-024282923f19
155,1582169418663.0,1730.0,78848.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,M_9672b049-537c-11ea-ab59-024282923f19
158,1582169422320.0,1729.0,67883.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,M_9672b049-537c-11ea-ab59-024282923f19
161,1582169440188.0,1729.0,67883.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,M_9672b049-537c-11ea-ab59-024282923f19
164,1582169450604.0,1730.0,67921.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_9672b049-537c-11ea-ab59-024282923f19
169,1582169494794.0,1729.0,67900.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,M_9672b049-537c-11ea-ab59-024282923f19
181,1582169715662.0,1730.0,78852.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_9672b049-537c-11ea-ab59-024282923f19
184,1582169718638.0,1729.0,67884.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_9672b049-537c-11ea-ab59-024282923f19
187,1582169748330.0,1730.0,67921.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,M_9672b049-537c-11ea-ab59-024282923f19
193,1582169860661.0,1730.0,67921.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,M_9672b049-537c-11ea-ab59-024282923f19
198,1582169909178.0,1730.0,67927.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_9672b049-537c-11ea-ab59-024282923f19
207,1582170981453.0,1729.0,67887.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,M_9672b049-537c-11ea-ab59-024282923f19
217,1582171041029.0,1730.0,67927.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,M_9672b049-537c-11ea-ab59-024282923f19
220,1582171050103.0,1729.0,67897.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,M_9672b049-537c-11ea-ab59-024282923f19
223,1582171059637.0,1730.0,67921.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_9672b049-537c-11ea-ab59-024282923f19
226,1582171067837.0,1730.0,67927.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_9672b049-537c-11ea-ab59-024282923f19
239,1582171176245.0,1730.0,78852.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_9672b049-537c-11ea-ab59-024282923f19
245,1582171202186.0,1730.0,67921.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,M_9672b049-537c-11ea-ab59-024282923f19
250,1582171231387.0,1730.0,67927.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,M_9672b049-537c-11ea-ab59-024282923f19
253,1582171240165.0,1730.0,0.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,M_9672b049-537c-11ea-ab59-024282923f19
260,1582171439279.0,1729.0,0.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_9672b049-537c-11ea-ab59-024282923f19
263,1582171442897.0,1730.0,78852.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,M_9672b049-537c-11ea-ab59-024282923f19
266,1582171461759.0,1730.0,67906.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,M_9672b049-537c-11ea-ab59-024282923f19
269,1582171461979.0,1729.0,67897.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,M_9672b049-537c-11ea-ab59-024282923f19
272,1582171491078.0,1730.0,78852.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_9672b049-537c-11ea-ab59-024282923f19
285,1582171590589.0,1730.0,78852.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,M_9672b049-537c-11ea-ab59-024282923f19
297,1582171680370.0,1729.0,67890.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,M_9672b049-537c-11ea-ab59-024282923f19
306,1582171754762.0,1730.0,67921.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,M_9672b049-537c-11ea-ab59-024282923f19
329,1582172183853.0,1730.0,78848.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,M_9672b049-537c-11ea-ab59-024282923f19
335,1582172254737.0,1729.0,67897.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,M_9672b049-537c-11ea-ab59-024282923f19
342,1582172317903.0,1729.0,67884.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,M_9672b049-537c-11ea-ab59-024282923f19
345,1582172330215.0,1730.0,78845.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_9672b049-537c-11ea-ab59-024282923f19
348,1582172336190.0,1730.0,67927.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,M_9672b049-537c-11ea-ab59-024282923f19
351,1582172356278.0,1729.0,67883.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,M_9672b049-537c-11ea-ab59-024282923f19
354,1582172458345.0,1730.0,67906.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,M_9672b049-537c-11ea-ab59-024282923f19
359,1582172617875.0,1730.0,67921.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_9672b049-537c-11ea-ab59-024282923f19
371,1582172775396.0,1729.0,67897.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,M_9672b049-537c-11ea-ab59-024282923f19
376,1582172801538.0,1729.0,67885.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,M_9672b049-537c-11ea-ab59-024282923f19
382,1582172833645.0,1730.0,78852.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,M_9672b049-537c-11ea-ab59-024282923f19
385,1582172835849.0,1729.0,67883.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,M_9672b049-537c-11ea-ab59-024282923f19
388,1582172853322.0,1730.0,78852.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,M_9672b049-537c-11ea-ab59-024282923f19
392,1582173042371.0,1729.0,67885.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,M_9672b049-537c-11ea-ab59-024282923f19
